,Mobile,Price,Ratings
0,"Realme 5i (Forest Green, 128 GB)","₹10,999",4.4
1,"Redmi 8 (Ruby Red, 64 GB)","₹8,999",4.4
2,"Realme C3 (Blazing Red, 32 GB)","₹7,499",4.4
3,"Realme C3 (Frozen Blue, 32 GB)","₹7,499",4.4
4,"Redmi 8 (Onyx Black, 64 GB)","₹8,999",4.4
5,"Realme 6 (Comet Blue, 64 GB)","₹13,999",4.4
6,"Realme 5i (Forest Green, 64 GB)","₹9,999",4.4
7,"Realme 5i (Aqua Blue, 128 GB)","₹10,999",4.4
8,"Realme 5i (Aqua Blue, 64 GB)","₹9,999",4.4
9,"Realme 5s (Crystal Blue, 64 GB)","₹10,999",4.4
10,"Realme 6 (Comet White, 64 GB)","₹13,999",4.4
11,"Realme C2 (Diamond Black, 32 GB)","₹6,499",4.4
12,"Realme C2 (Diamond Black, 32 GB)","₹7,499",4.3
13,"Realme C2 (Diamond Blue, 32 GB)","₹6,499",4.4
14,"Realme 5s (Crystal Blue, 128 GB)","₹11,999",4.4
15,"Realme 5s (Crystal Purple, 64 GB)","₹10,999",4.4
16,"Vivo U10 (Electric Blue, 32 GB)","₹9,990",4.4
17,"Realme C3 (Frozen Blue, 64 GB)","₹8,499",4.4
18,"Realme 6 Pro (Lightning Blue, 64 GB)","₹17,999",4.6
19,"Realme C2 (Diamond Ruby, 32 GB)","₹7,499",4.3
20,"Realme C2 (Diamond Sapphire, 32 GB)","₹7,499",4.3
21,"POCO X2 (Matrix Purple, 128 GB)","₹17,999",4.6
22,"Realme 6 Pro (Lightning Blue, 128 GB)","₹19,999",4.5
23,"Realme 6 Pro (Lightning Blue, 128 GB)","₹18,999",4.6
24,"Realme 5i (Forest Green, 128 GB)","₹10,999",4.4
25,"Redmi 8 (Ruby Red, 64 GB)","₹8,999",4.4
26,"Realme C3 (Blazing Red, 32 GB)","₹7,499",4.4
27,"Realme C3 (Frozen Blue, 32 GB)","₹7,499",4.4
28,"Redmi 8 (Onyx Black, 64 GB)","₹8,999",4.4
29,"Realme 6 (Comet Blue, 64 GB)","₹13,999",4.4
30,"Realme 5i (Forest Green, 64 GB)","₹9,999",4.4
31,"Realme 5i (Aqua Blue, 128 GB)","₹10,999",4.4
32,"Realme 5i (Aqua Blue, 64 GB)","₹9,999",4.4
33,"Realme 5s (Crystal Blue, 64 GB)","₹10,999",4.4
34,"Realme 6 (Comet White, 64 GB)","₹13,999",4.4
35,"Realme C2 (Diamond Black, 32 GB)","₹6,499",4.4
36,"Realme C2 (Diamond Black, 32 GB)","₹7,499",4.3
37,"Realme C2 (Diamond Blue, 32 GB)","₹6,499",4.4
38,"Realme 5s (Crystal Blue, 128 GB)","₹11,999",4.4
39,"Realme 5s (Crystal Purple, 64 GB)","₹10,999",4.4
40,"Vivo U10 (Electric Blue, 32 GB)","₹9,990",4.4
41,"Realme C3 (Frozen Blue, 64 GB)","₹8,499",4.4
42,"Realme 6 Pro (Lightning Blue, 64 GB)","₹17,999",4.6
43,"Realme C2 (Diamond Ruby, 32 GB)","₹7,499",4.3
44,"Realme C2 (Diamond Sapphire, 32 GB)","₹7,499",4.3
45,"POCO X2 (Matrix Purple, 128 GB)","₹17,999",4.6
46,"Realme 6 Pro (Lightning Blue, 128 GB)","₹19,999",4.5
47,"Realme 6 Pro (Lightning Blue, 128 GB)","₹18,999",4.6
48,"Realme 5i (Forest Green, 128 GB)","₹10,999",4.4
49,"Redmi 8 (Ruby Red, 64 GB)","₹8,999",4.4
50,"Realme C3 (Blazing Red, 32 GB)","₹7,499",4.4
51,"Realme C3 (Frozen Blue, 32 GB)","₹7,499",4.4
52,"Redmi 8 (Onyx Black, 64 GB)","₹8,999",4.4
53,"Realme 6 (Comet Blue, 64 GB)","₹13,999",4.4
54,"Realme 5i (Forest Green, 64 GB)","₹9,999",4.4
55,"Realme 5i (Aqua Blue, 128 GB)","₹10,999",4.4
56,"Realme 5i (Aqua Blue, 64 GB)","₹9,999",4.4
57,"Realme 5s (Crystal Blue, 64 GB)","₹10,999",4.4
58,"Realme 6 (Comet White, 64 GB)","₹13,999",4.4
59,"Realme C2 (Diamond Black, 32 GB)","₹6,499",4.4
60,"Realme C2 (Diamond Black, 32 GB)","₹7,499",4.3
61,"Realme C2 (Diamond Blue, 32 GB)","₹6,499",4.4
62,"Realme 5s (Crystal Blue, 128 GB)","₹11,999",4.4
63,"Realme 5s (Crystal Purple, 64 GB)","₹10,999",4.4
64,"Vivo U10 (Electric Blue, 32 GB)","₹9,990",4.4
65,"Realme C3 (Frozen Blue, 64 GB)","₹8,499",4.4
66,"Realme 6 Pro (Lightning Blue, 64 GB)","₹17,999",4.6
67,"Realme C2 (Diamond Ruby, 32 GB)","₹7,499",4.3
68,"Realme C2 (Diamond Sapphire, 32 GB)","₹7,499",4.3
69,"POCO X2 (Matrix Purple, 128 GB)","₹17,999",4.6
70,"Realme 6 Pro (Lightning Blue, 128 GB)","₹19,999",4.5
71,"Realme 6 Pro (Lightning Blue, 128 GB)","₹18,999",4.6
72,"Realme 5i (Forest Green, 128 GB)","₹10,999",4.4
73,"Redmi 8 (Ruby Red, 64 GB)","₹8,999",4.4
74,"Realme C3 (Blazing Red, 32 GB)","₹7,499",4.4
75,"Realme C3 (Frozen Blue, 32 GB)","₹7,499",4.4
76,"Redmi 8 (Onyx Black, 64 GB)","₹8,999",4.4
77,"Realme 6 (Comet Blue, 64 GB)","₹13,999",4.4
78,"Realme 5i (Forest Green, 64 GB)","₹9,999",4.4
79,"Realme 5i (Aqua Blue, 128 GB)","₹10,999",4.4
80,"Realme 5i (Aqua Blue, 64 GB)","₹9,999",4.4
81,"Realme 5s (Crystal Blue, 64 GB)","₹10,999",4.4
82,"Realme 6 (Comet White, 64 GB)","₹13,999",4.4
83,"Realme C2 (Diamond Black, 32 GB)","₹6,499",4.4
84,"Realme C2 (Diamond Black, 32 GB)","₹7,499",4.3
85,"Realme C2 (Diamond Blue, 32 GB)","₹6,499",4.4
86,"Realme 5s (Crystal Blue, 128 GB)","₹11,999",4.4
87,"Realme 5s (Crystal Purple, 64 GB)","₹10,999",4.4
88,"Vivo U10 (Electric Blue, 32 GB)","₹9,990",4.4
89,"Realme C3 (Frozen Blue, 64 GB)","₹8,499",4.4
90,"Realme 6 Pro (Lightning Blue, 64 GB)","₹17,999",4.6
91,"Realme C2 (Diamond Ruby, 32 GB)","₹7,499",4.3
92,"Realme C2 (Diamond Sapphire, 32 GB)","₹7,499",4.3
93,"POCO X2 (Matrix Purple, 128 GB)","₹17,999",4.6
94,"Realme 6 Pro (Lightning Blue, 128 GB)","₹19,999",4.5
95,"Realme 6 Pro (Lightning Blue, 128 GB)","₹18,999",4.6
96,"Realme 5i (Forest Green, 128 GB)","₹10,999",4.4
97,"Redmi 8 (Ruby Red, 64 GB)","₹8,999",4.4
98,"Realme C3 (Blazing Red, 32 GB)","₹7,499",4.4
99,"Realme C3 (Frozen Blue, 32 GB)","₹7,499",4.4
100,"Redmi 8 (Onyx Black, 64 GB)","₹8,999",4.4
101,"Realme 6 (Comet Blue, 64 GB)","₹13,999",4.4
102,"Realme 5i (Forest Green, 64 GB)","₹9,999",4.4
103,"Realme 5i (Aqua Blue, 128 GB)","₹10,999",4.4
104,"Realme 5i (Aqua Blue, 64 GB)","₹9,999",4.4
105,"Realme 5s (Crystal Blue, 64 GB)","₹10,999",4.4
106,"Realme 6 (Comet White, 64 GB)","₹13,999",4.4
107,"Realme C2 (Diamond Black, 32 GB)","₹6,499",4.4
108,"Realme C2 (Diamond Black, 32 GB)","₹7,499",4.3
109,"Realme C2 (Diamond Blue, 32 GB)","₹6,499",4.4
110,"Realme 5s (Crystal Blue, 128 GB)","₹11,999",4.4
111,"Realme 5s (Crystal Purple, 64 GB)","₹10,999",4.4
112,"Vivo U10 (Electric Blue, 32 GB)","₹9,990",4.4
113,"Realme C3 (Frozen Blue, 64 GB)","₹8,499",4.4
114,"Realme 6 Pro (Lightning Blue, 64 GB)","₹17,999",4.6
115,"Realme C2 (Diamond Ruby, 32 GB)","₹7,499",4.3
116,"Realme C2 (Diamond Sapphire, 32 GB)","₹7,499",4.3
117,"POCO X2 (Matrix Purple, 128 GB)","₹17,999",4.6
118,"Realme 6 Pro (Lightning Blue, 128 GB)","₹19,999",4.5
119,"Realme 6 Pro (Lightning Blue, 128 GB)","₹18,999",4.6
120,"Realme 5i (Forest Green, 128 GB)","₹10,999",4.4
121,"Redmi 8 (Ruby Red, 64 GB)","₹8,999",4.4
122,"Realme C3 (Blazing Red, 32 GB)","₹7,499",4.4
123,"Realme C3 (Frozen Blue, 32 GB)","₹7,499",4.4
124,"Redmi 8 (Onyx Black, 64 GB)","₹8,999",4.4
125,"Realme 6 (Comet Blue, 64 GB)","₹13,999",4.4
126,"Realme 5i (Forest Green, 64 GB)","₹9,999",4.4
127,"Realme 5i (Aqua Blue, 128 GB)","₹10,999",4.4
128,"Realme 5i (Aqua Blue, 64 GB)","₹9,999",4.4
129,"Realme 5s (Crystal Blue, 64 GB)","₹10,999",4.4
130,"Realme 6 (Comet White, 64 GB)","₹13,999",4.4
131,"Realme C2 (Diamond Black, 32 GB)","₹6,499",4.4
132,"Realme C2 (Diamond Black, 32 GB)","₹7,499",4.3
133,"Realme C2 (Diamond Blue, 32 GB)","₹6,499",4.4
134,"Realme 5s (Crystal Blue, 128 GB)","₹11,999",4.4
135,"Realme 5s (Crystal Purple, 64 GB)","₹10,999",4.4
136,"Vivo U10 (Electric Blue, 32 GB)","₹9,990",4.4
137,"Realme C3 (Frozen Blue, 64 GB)","₹8,499",4.4
138,"Realme 6 Pro (Lightning Blue, 64 GB)","₹17,999",4.6
139,"Realme C2 (Diamond Ruby, 32 GB)","₹7,499",4.3
140,"Realme C2 (Diamond Sapphire, 32 GB)","₹7,499",4.3
141,"POCO X2 (Matrix Purple, 128 GB)","₹17,999",4.6
142,"Realme 6 Pro (Lightning Blue, 128 GB)","₹19,999",4.5
143,"Realme 6 Pro (Lightning Blue, 128 GB)","₹18,999",4.6
144,"Realme 5i (Forest Green, 128 GB)","₹10,999",4.4
145,"Redmi 8 (Ruby Red, 64 GB)","₹8,999",4.4
146,"Realme C3 (Blazing Red, 32 GB)","₹7,499",4.4
147,"Realme C3 (Frozen Blue, 32 GB)","₹7,499",4.4
148,"Redmi 8 (Onyx Black, 64 GB)","₹8,999",4.4
149,"Realme 6 (Comet Blue, 64 GB)","₹13,999",4.4
150,"Realme 5i (Forest Green, 64 GB)","₹9,999",4.4
151,"Realme 5i (Aqua Blue, 128 GB)","₹10,999",4.4
152,"Realme 5i (Aqua Blue, 64 GB)","₹9,999",4.4
153,"Realme 5s (Crystal Blue, 64 GB)","₹10,999",4.4
154,"Realme 6 (Comet White, 64 GB)","₹13,999",4.4
155,"Realme C2 (Diamond Black, 32 GB)","₹6,499",4.4
156,"Realme C2 (Diamond Black, 32 GB)","₹7,499",4.3
157,"Realme C2 (Diamond Blue, 32 GB)","₹6,499",4.4
158,"Realme 5s (Crystal Blue, 128 GB)","₹11,999",4.4
159,"Realme 5s (Crystal Purple, 64 GB)","₹10,999",4.4
160,"Vivo U10 (Electric Blue, 32 GB)","₹9,990",4.4
161,"Realme C3 (Frozen Blue, 64 GB)","₹8,499",4.4
162,"Realme 6 Pro (Lightning Blue, 64 GB)","₹17,999",4.6
163,"Realme C2 (Diamond Ruby, 32 GB)","₹7,499",4.3
164,"Realme C2 (Diamond Sapphire, 32 GB)","₹7,499",4.3
165,"POCO X2 (Matrix Purple, 128 GB)","₹17,999",4.6
166,"Realme 6 Pro (Lightning Blue, 128 GB)","₹19,999",4.5
167,"Realme 6 Pro (Lightning Blue, 128 GB)","₹18,999",4.6
168,"Realme 5i (Forest Green, 128 GB)","₹10,999",4.4
169,"Redmi 8 (Ruby Red, 64 GB)","₹8,999",4.4
170,"Realme C3 (Blazing Red, 32 GB)","₹7,499",4.4
171,"Realme C3 (Frozen Blue, 32 GB)","₹7,499",4.4
172,"Redmi 8 (Onyx Black, 64 GB)","₹8,999",4.4
173,"Realme 6 (Comet Blue, 64 GB)","₹13,999",4.4
174,"Realme 5i (Forest Green, 64 GB)","₹9,999",4.4
175,"Realme 5i (Aqua Blue, 128 GB)","₹10,999",4.4
176,"Realme 5i (Aqua Blue, 64 GB)","₹9,999",4.4
177,"Realme 5s (Crystal Blue, 64 GB)","₹10,999",4.4
178,"Realme 6 (Comet White, 64 GB)","₹13,999",4.4
179,"Realme C2 (Diamond Black, 32 GB)","₹6,499",4.4
180,"Realme C2 (Diamond Black, 32 GB)","₹7,499",4.3
181,"Realme C2 (Diamond Blue, 32 GB)","₹6,499",4.4
182,"Realme 5s (Crystal Blue, 128 GB)","₹11,999",4.4
183,"Realme 5s (Crystal Purple, 64 GB)","₹10,999",4.4
184,"Vivo U10 (Electric Blue, 32 GB)","₹9,990",4.4
185,"Realme C3 (Frozen Blue, 64 GB)","₹8,499",4.4
186,"Realme 6 Pro (Lightning Blue, 64 GB)","₹17,999",4.6
187,"Realme C2 (Diamond Ruby, 32 GB)","₹7,499",4.3
188,"Realme C2 (Diamond Sapphire, 32 GB)","₹7,499",4.3
189,"POCO X2 (Matrix Purple, 128 GB)","₹17,999",4.6
190,"Realme 6 Pro (Lightning Blue, 128 GB)","₹19,999",4.5
191,"Realme 6 Pro (Lightning Blue, 128 GB)","₹18,999",4.6
192,"Realme 5i (Forest Green, 128 GB)","₹10,999",4.4
193,"Redmi 8 (Ruby Red, 64 GB)","₹8,999",4.4
194,"Realme C3 (Blazing Red, 32 GB)","₹7,499",4.4
195,"Realme C3 (Frozen Blue, 32 GB)","₹7,499",4.4
196,"Redmi 8 (Onyx Black, 64 GB)","₹8,999",4.4
197,"Realme 6 (Comet Blue, 64 GB)","₹13,999",4.4
198,"Realme 5i (Forest Green, 64 GB)","₹9,999",4.4
199,"Realme 5i (Aqua Blue, 128 GB)","₹10,999",4.4
200,"Realme 5i (Aqua Blue, 64 GB)","₹9,999",4.4
201,"Realme 5s (Crystal Blue, 64 GB)","₹10,999",4.4
202,"Realme 6 (Comet White, 64 GB)","₹13,999",4.4
203,"Realme C2 (Diamond Black, 32 GB)","₹6,499",4.4
204,"Realme C2 (Diamond Black, 32 GB)","₹7,499",4.3
205,"Realme C2 (Diamond Blue, 32 GB)","₹6,499",4.4
206,"Realme 5s (Crystal Blue, 128 GB)","₹11,999",4.4
207,"Realme 5s (Crystal Purple, 64 GB)","₹10,999",4.4
208,"Vivo U10 (Electric Blue, 32 GB)","₹9,990",4.4
209,"Realme C3 (Frozen Blue, 64 GB)","₹8,499",4.4
210,"Realme 6 Pro (Lightning Blue, 64 GB)","₹17,999",4.6
211,"Realme C2 (Diamond Ruby, 32 GB)","₹7,499",4.3
212,"Realme C2 (Diamond Sapphire, 32 GB)","₹7,499",4.3
213,"POCO X2 (Matrix Purple, 128 GB)","₹17,999",4.6
214,"Realme 6 Pro (Lightning Blue, 128 GB)","₹19,999",4.5
215,"Realme 6 Pro (Lightning Blue, 128 GB)","₹18,999",4.6
216,"Realme 5i (Forest Green, 128 GB)","₹10,999",4.4
217,"Redmi 8 (Ruby Red, 64 GB)","₹8,999",4.4
218,"Realme C3 (Blazing Red, 32 GB)","₹7,499",4.4
219,"Realme C3 (Frozen Blue, 32 GB)","₹7,499",4.4
220,"Redmi 8 (Onyx Black, 64 GB)","₹8,999",4.4
221,"Realme 6 (Comet Blue, 64 GB)","₹13,999",4.4
222,"Realme 5i (Forest Green, 64 GB)","₹9,999",4.4
223,"Realme 5i (Aqua Blue, 128 GB)","₹10,999",4.4
224,"Realme 5i (Aqua Blue, 64 GB)","₹9,999",4.4
225,"Realme 5s (Crystal Blue, 64 GB)","₹10,999",4.4
226,"Realme 6 (Comet White, 64 GB)","₹13,999",4.4
227,"Realme C2 (Diamond Black, 32 GB)","₹6,499",4.4
228,"Realme C2 (Diamond Black, 32 GB)","₹7,499",4.3
229,"Realme C2 (Diamond Blue, 32 GB)","₹6,499",4.4
230,"Realme 5s (Crystal Blue, 128 GB)","₹11,999",4.4
231,"Realme 5s (Crystal Purple, 64 GB)","₹10,999",4.4
232,"Vivo U10 (Electric Blue, 32 GB)","₹9,990",4.4
233,"Realme C3 (Frozen Blue, 64 GB)","₹8,499",4.4
234,"Realme 6 Pro (Lightning Blue, 64 GB)","₹17,999",4.6
235,"Realme C2 (Diamond Ruby, 32 GB)","₹7,499",4.3
236,"Realme C2 (Diamond Sapphire, 32 GB)","₹7,499",4.3
237,"POCO X2 (Matrix Purple, 128 GB)","₹17,999",4.6
238,"Realme 6 Pro (Lightning Blue, 128 GB)","₹19,999",4.5
239,"Realme 6 Pro (Lightning Blue, 128 GB)","₹18,999",4.6
240,"Realme 5i (Forest Green, 128 GB)","₹10,999",4.4
241,"Redmi 8 (Ruby Red, 64 GB)","₹8,999",4.4
242,"Realme C3 (Blazing Red, 32 GB)","₹7,499",4.4
243,"Realme C3 (Frozen Blue, 32 GB)","₹7,499",4.4
244,"Redmi 8 (Onyx Black, 64 GB)","₹8,999",4.4
245,"Realme 6 (Comet Blue, 64 GB)","₹13,999",4.4
246,"Realme 5i (Forest Green, 64 GB)","₹9,999",4.4
247,"Realme 5i (Aqua Blue, 128 GB)","₹10,999",4.4
248,"Realme 5i (Aqua Blue, 64 GB)","₹9,999",4.4
249,"Realme 5s (Crystal Blue, 64 GB)","₹10,999",4.4
250,"Realme 6 (Comet White, 64 GB)","₹13,999",4.4
251,"Realme C2 (Diamond Black, 32 GB)","₹6,499",4.4
252,"Realme C2 (Diamond Black, 32 GB)","₹7,499",4.3
253,"Realme C2 (Diamond Blue, 32 GB)","₹6,499",4.4
254,"Realme 5s (Crystal Blue, 128 GB)","₹11,999",4.4
255,"Realme 5s (Crystal Purple, 64 GB)","₹10,999",4.4
256,"Vivo U10 (Electric Blue, 32 GB)","₹9,990",4.4
257,"Realme C3 (Frozen Blue, 64 GB)","₹8,499",4.4
258,"Realme 6 Pro (Lightning Blue, 64 GB)","₹17,999",4.6
259,"Realme C2 (Diamond Ruby, 32 GB)","₹7,499",4.3
260,"Realme C2 (Diamond Sapphire, 32 GB)","₹7,499",4.3
261,"POCO X2 (Matrix Purple, 128 GB)","₹17,999",4.6
262,"Realme 6 Pro (Lightning Blue, 128 GB)","₹19,999",4.5
263,"Realme 6 Pro (Lightning Blue, 128 GB)","₹18,999",4.6
264,"Realme 5i (Forest Green, 128 GB)","₹10,999",4.4
265,"Redmi 8 (Ruby Red, 64 GB)","₹8,999",4.4
266,"Realme C3 (Blazing Red, 32 GB)","₹7,499",4.4
267,"Realme C3 (Frozen Blue, 32 GB)","₹7,499",4.4
268,"Redmi 8 (Onyx Black, 64 GB)","₹8,999",4.4
269,"Realme 6 (Comet Blue, 64 GB)","₹13,999",4.4
270,"Realme 5i (Forest Green, 64 GB)","₹9,999",4.4
271,"Realme 5i (Aqua Blue, 128 GB)","₹10,999",4.4
272,"Realme 5i (Aqua Blue, 64 GB)","₹9,999",4.4
273,"Realme 5s (Crystal Blue, 64 GB)","₹10,999",4.4
274,"Realme 6 (Comet White, 64 GB)","₹13,999",4.4
275,"Realme C2 (Diamond Black, 32 GB)","₹6,499",4.4
276,"Realme C2 (Diamond Black, 32 GB)","₹7,499",4.3
277,"Realme C2 (Diamond Blue, 32 GB)","₹6,499",4.4
278,"Realme 5s (Crystal Blue, 128 GB)","₹11,999",4.4
279,"Realme 5s (Crystal Purple, 64 GB)","₹10,999",4.4
280,"Vivo U10 (Electric Blue, 32 GB)","₹9,990",4.4
281,"Realme C3 (Frozen Blue, 64 GB)","₹8,499",4.4
282,"Realme 6 Pro (Lightning Blue, 64 GB)","₹17,999",4.6
283,"Realme C2 (Diamond Ruby, 32 GB)","₹7,499",4.3
284,"Realme C2 (Diamond Sapphire, 32 GB)","₹7,499",4.3
285,"POCO X2 (Matrix Purple, 128 GB)","₹17,999",4.6
286,"Realme 6 Pro (Lightning Blue, 128 GB)","₹19,999",4.5
287,"Realme 6 Pro (Lightning Blue, 128 GB)","₹18,999",4.6
288,"Realme 5i (Forest Green, 128 GB)","₹10,999",4.4
289,"Redmi 8 (Ruby Red, 64 GB)","₹8,999",4.4
290,"Realme C3 (Blazing Red, 32 GB)","₹7,499",4.4
291,"Realme C3 (Frozen Blue, 32 GB)","₹7,499",4.4
292,"Redmi 8 (Onyx Black, 64 GB)","₹8,999",4.4
293,"Realme 6 (Comet Blue, 64 GB)","₹13,999",4.4
294,"Realme 5i (Forest Green, 64 GB)","₹9,999",4.4
295,"Realme 5i (Aqua Blue, 128 GB)","₹10,999",4.4
296,"Realme 5i (Aqua Blue, 64 GB)","₹9,999",4.4
297,"Realme 5s (Crystal Blue, 64 GB)","₹10,999",4.4
298,"Realme 6 (Comet White, 64 GB)","₹13,999",4.4
299,"Realme C2 (Diamond Black, 32 GB)","₹6,499",4.4
300,"Realme C2 (Diamond Black, 32 GB)","₹7,499",4.3
301,"Realme C2 (Diamond Blue, 32 GB)","₹6,499",4.4
